"Frequency","Power"
2.975e+09,-109.368
2.975e+09,-110.617
2.975e+09,-111.25
2.975e+09,-111.452
2.97501e+09,-111.463
2.97501e+09,-111.596
2.97501e+09,-111.646
2.97501e+09,-111.439
2.97501e+09,-111.553
2.97501e+09,-111.672
2.97502e+09,-111.451
2.97502e+09,-111.79
2.97502e+09,-111.715
2.97502e+09,-111.328
2.97502e+09,-111.586
2.97502e+09,-111.637
2.97502e+09,-111.702
2.97503e+09,-111.63
2.97503e+09,-111.692
2.97503e+09,-111.691
2.97503e+09,-111.7
2.97503e+09,-111.498
2.97503e+09,-111.552
2.97504e+09,-111.812
2.97504e+09,-111.602
2.97504e+09,-111.616
2.97504e+09,-111.531
2.97504e+09,-111.475
2.97504e+09,-111.703
2.97504e+09,-111.691
2.97505e+09,-111.494
2.97505e+09,-111.558
2.97505e+09,-111.652
2.97505e+09,-111.635
2.97505e+09,-111.623
2.97505e+09,-111.642
2.97506e+09,-111.25
2.97506e+09,-111.578
2.97506e+09,-111.732
2.97506e+09,-111.532
2.97506e+09,-111.76
2.97506e+09,-111.925
2.97506e+09,-111.482
2.97507e+09,-111.435
2.97507e+09,-111.343
2.97507e+09,-111.536
2.97507e+09,-111.573
2.97507e+09,-111.764
2.97507e+09,-111.553
2.97508e+09,-111.391
2.97508e+09,-111.398
2.97508e+09,-111.295
2.97508e+09,-111.739
2.97508e+09,-111.458
2.97508e+09,-111.487
2.97508e+09,-111.756
2.97509e+09,-111.493
2.97509e+09,-111.585
2.97509e+09,-111.757
2.97509e+09,-111.563
2.97509e+09,-111.692
2.97509e+09,-111.863
2.9751e+09,-111.326
2.9751e+09,-111.301
2.9751e+09,-111.666
2.9751e+09,-111.798
2.9751e+09,-111.447
2.9751e+09,-111.342
2.9751e+09,-111.313
2.97511e+09,-111.516
2.97511e+09,-111.754
2.97511e+09,-111.514
2.97511e+09,-111.467
2.97511e+09,-111.643
2.97511e+09,-111.51
2.97512e+09,-111.369
2.97512e+09,-111.646
2.97512e+09,-111.888
2.97512e+09,-111.879
2.97512e+09,-112.092
2.97512e+09,-111.987
2.97512e+09,-111.763
2.97513e+09,-111.648
2.97513e+09,-111.744
2.97513e+09,-111.803
2.97513e+09,-111.754
2.97513e+09,-111.518
2.97513e+09,-111.346
2.97514e+09,-111.398
2.97514e+09,-111.959
2.97514e+09,-111.539
2.97514e+09,-110.942
2.97514e+09,-111.356
2.97514e+09,-111.452
2.97514e+09,-111.482
2.97515e+09,-111.483
2.97515e+09,-111.314
2.97515e+09,-111.532
2.97515e+09,-111.399
2.97515e+09,-111.287
2.97515e+09,-111.462
2.97516e+09,-111.796
2.97516e+09,-111.555
2.97516e+09,-111.541
2.97516e+09,-111.838
2.97516e+09,-111.636
2.97516e+09,-111.713
2.97516e+09,-111.494
2.97517e+09,-111.422
2.97517e+09,-111.573
2.97517e+09,-111.601
2.97517e+09,-111.264
2.97517e+09,-111.475
2.97517e+09,-111.597
2.97518e+09,-111.768
2.97518e+09,-111.436
2.97518e+09,-111.613
2.97518e+09,-111.738
2.97518e+09,-111.258
2.97518e+09,-111.103
2.97518e+09,-111.511
2.97519e+09,-111.369
2.97519e+09,-111.385
2.97519e+09,-111.36
2.97519e+09,-111.889
2.97519e+09,-111.893
2.97519e+09,-111.451
2.9752e+09,-111.571
2.9752e+09,-111.356
2.9752e+09,-111.547
2.9752e+09,-111.74
2.9752e+09,-111.942
2.9752e+09,-111.788
2.9752e+09,-111.579
2.97521e+09,-111.753
2.97521e+09,-111.887
2.97521e+09,-111.817
2.97521e+09,-111.843
2.97521e+09,-111.905
2.97521e+09,-111.733
2.97522e+09,-111.727
2.97522e+09,-111.636
2.97522e+09,-111.672
2.97522e+09,-111.629
2.97522e+09,-111.414
2.97522e+09,-111.43
2.97522e+09,-111.417
2.97523e+09,-111.445
2.97523e+09,-111.833
2.97523e+09,-111.622
2.97523e+09,-111.376
2.97523e+09,-111.454
2.97523e+09,-111.565
2.97524e+09,-111.178
2.97524e+09,-111.358
2.97524e+09,-111.544
2.97524e+09,-111.5
2.97524e+09,-111.285
2.97524e+09,-111.765
2.97524e+09,-111.833
2.97525e+09,-111.676
2.97525e+09,-111.246
2.97525e+09,-111.406
2.97525e+09,-111.654
2.97525e+09,-111.818
2.97525e+09,-111.761
2.97526e+09,-111.691
2.97526e+09,-111.598
2.97526e+09,-111.316
2.97526e+09,-111.405
2.97526e+09,-111.457
2.97526e+09,-111.567
2.97526e+09,-111.52
2.97527e+09,-111.591
2.97527e+09,-111.646
2.97527e+09,-111.458
2.97527e+09,-111.306
2.97527e+09,-111.382
2.97527e+09,-111.575
2.97528e+09,-111.505
2.97528e+09,-111.411
2.97528e+09,-111.429
2.97528e+09,-111.598
2.97528e+09,-111.636
2.97528e+09,-111.45
2.97528e+09,-111.293
2.97529e+09,-111.443
2.97529e+09,-111.547
2.97529e+09,-111.609
2.97529e+09,-111.913
2.97529e+09,-111.641
2.97529e+09,-111.741
2.97529e+09,-111.769
2.9753e+09,-111.585
2.9753e+09,-111.355
2.9753e+09,-111.661
2.9753e+09,-111.636
2.9753e+09,-111.568
2.9753e+09,-111.49
2.97531e+09,-111.594
2.97531e+09,-111.637
2.97531e+09,-111.568
2.97531e+09,-111.194
2.97531e+09,-111.593
2.97531e+09,-112.04
2.97531e+09,-111.92
2.97532e+09,-111.824
2.97532e+09,-111.803
2.97532e+09,-111.481
2.97532e+09,-111.388
2.97532e+09,-111.756
2.97532e+09,-111.886
2.97533e+09,-111.829
2.97533e+09,-111.604
2.97533e+09,-111.467
2.97533e+09,-111.412
2.97533e+09,-111.084
2.97533e+09,-111.452
2.97533e+09,-111.601
2.97534e+09,-111.56
2.97534e+09,-111.643
2.97534e+09,-111.709
2.97534e+09,-111.527
2.97534e+09,-111.692
2.97534e+09,-111.899
2.97535e+09,-111.826
2.97535e+09,-111.671
2.97535e+09,-111.629
2.97535e+09,-111.72
2.97535e+09,-111.494
2.97535e+09,-111.194
2.97535e+09,-111.702
2.97536e+09,-111.851
2.97536e+09,-111.672
2.97536e+09,-111.333
2.97536e+09,-111.524
2.97536e+09,-111.604
2.97536e+09,-111.764
2.97537e+09,-111.703
2.97537e+09,-111.322
2.97537e+09,-111.402
2.97537e+09,-111.888
2.97537e+09,-111.729
2.97537e+09,-111.406
2.97537e+09,-111.679
2.97538e+09,-111.712
2.97538e+09,-111.609
2.97538e+09,-111.661
2.97538e+09,-111.751
2.97538e+09,-111.643
2.97538e+09,-111.798
2.97539e+09,-111.869
2.97539e+09,-111.835
2.97539e+09,-111.494
2.97539e+09,-111.303
2.97539e+09,-111.401
2.97539e+09,-111.525
2.97539e+09,-111.548
2.9754e+09,-111.576
2.9754e+09,-111.508
2.9754e+09,-111.819
2.9754e+09,-111.635
2.9754e+09,-111.631
2.9754e+09,-111.726
2.97541e+09,-111.439
2.97541e+09,-111.713
2.97541e+09,-111.701
2.97541e+09,-111.411
2.97541e+09,-111.349
2.97541e+09,-111.425
2.97541e+09,-111.497
2.97542e+09,-111.455
2.97542e+09,-111.248
2.97542e+09,-111.51
2.97542e+09,-111.917
2.97542e+09,-111.604
2.97542e+09,-111.296
2.97543e+09,-111.446
2.97543e+09,-111.5
2.97543e+09,-111.696
2.97543e+09,-111.578
2.97543e+09,-111.494
2.97543e+09,-111.511
2.97543e+09,-111.48
2.97544e+09,-111.155
2.97544e+09,-111.153
2.97544e+09,-111.302
2.97544e+09,-111.698
2.97544e+09,-111.58
2.97544e+09,-111.175
2.97545e+09,-111.437
2.97545e+09,-111.677
2.97545e+09,-111.554
2.97545e+09,-111.607
2.97545e+09,-111.464
2.97545e+09,-111.462
2.97545e+09,-111.906
2.97546e+09,-111.857
2.97546e+09,-111.761
2.97546e+09,-111.797
2.97546e+09,-111.902
2.97546e+09,-111.543
2.97546e+09,-111.717
2.97547e+09,-111.558
2.97547e+09,-111.763
2.97547e+09,-111.908
2.97547e+09,-111.576
2.97547e+09,-111.606
2.97547e+09,-111.306
2.97547e+09,-111.4
2.97548e+09,-111.396
2.97548e+09,-111.337
2.97548e+09,-111.585
2.97548e+09,-111.54
2.97548e+09,-111.38
2.97548e+09,-111.593
2.97549e+09,-111.667
2.97549e+09,-111.61
2.97549e+09,-111.519
