"Frequency","Power"
2.975e+09,-100.76
2.975e+09,-101.019
2.975e+09,-103.44
2.975e+09,-107.026
2.97501e+09,-107.505
2.97501e+09,-107.116
2.97501e+09,-106.898
2.97501e+09,-106.587
2.97501e+09,-106.502
2.97501e+09,-106.644
2.97502e+09,-106.857
2.97502e+09,-107.184
2.97502e+09,-107.475
2.97502e+09,-107.455
2.97502e+09,-107.206
2.97502e+09,-106.819
2.97502e+09,-106.62
2.97503e+09,-106.56
2.97503e+09,-106.668
2.97503e+09,-106.833
2.97503e+09,-106.614
2.97503e+09,-106.522
2.97503e+09,-106.794
2.97504e+09,-107.113
2.97504e+09,-106.82
2.97504e+09,-106.287
2.97504e+09,-106.324
2.97504e+09,-106.825
2.97504e+09,-106.813
2.97504e+09,-106.638
2.97505e+09,-106.571
2.97505e+09,-106.727
2.97505e+09,-106.704
2.97505e+09,-106.546
2.97505e+09,-106.81
2.97505e+09,-107.051
2.97506e+09,-107.092
2.97506e+09,-107.1
2.97506e+09,-107.42
2.97506e+09,-107.336
2.97506e+09,-106.989
2.97506e+09,-106.709
2.97506e+09,-106.733
2.97507e+09,-106.92
2.97507e+09,-106.814
2.97507e+09,-106.529
2.97507e+09,-106.459
2.97507e+09,-106.706
2.97507e+09,-106.945
2.97508e+09,-106.878
2.97508e+09,-106.573
2.97508e+09,-106.445
2.97508e+09,-106.55
2.97508e+09,-106.733
2.97508e+09,-106.907
2.97508e+09,-106.762
2.97509e+09,-106.355
2.97509e+09,-106.093
2.97509e+09,-106.42
2.97509e+09,-106.766
2.97509e+09,-106.681
2.97509e+09,-106.274
2.9751e+09,-105.869
2.9751e+09,-105.637
2.9751e+09,-105.612
2.9751e+09,-105.833
2.9751e+09,-106.275
2.9751e+09,-106.619
2.9751e+09,-106.907
2.97511e+09,-107.298
2.97511e+09,-107.655
2.97511e+09,-107.485
2.97511e+09,-107.435
2.97511e+09,-107.419
2.97511e+09,-107.229
2.97512e+09,-107.168
2.97512e+09,-107.367
2.97512e+09,-107.506
2.97512e+09,-107.395
2.97512e+09,-107.24
2.97512e+09,-107.004
2.97512e+09,-106.869
2.97513e+09,-106.838
2.97513e+09,-106.955
2.97513e+09,-107.357
2.97513e+09,-107.877
2.97513e+09,-108.013
2.97513e+09,-107.844
2.97514e+09,-107.489
2.97514e+09,-106.988
2.97514e+09,-106.799
2.97514e+09,-107.05
2.97514e+09,-107.379
2.97514e+09,-107.279
2.97514e+09,-107.203
2.97515e+09,-107.312
2.97515e+09,-107.588
2.97515e+09,-107.558
2.97515e+09,-107.321
2.97515e+09,-107.071
2.97515e+09,-106.708
2.97516e+09,-106.554
2.97516e+09,-106.713
2.97516e+09,-107.142
2.97516e+09,-107.492
2.97516e+09,-107.277
2.97516e+09,-106.942
2.97516e+09,-107.096
2.97517e+09,-107.608
2.97517e+09,-107.872
2.97517e+09,-107.494
2.97517e+09,-106.988
2.97517e+09,-106.789
2.97517e+09,-106.922
2.97518e+09,-107.347
2.97518e+09,-107.548
2.97518e+09,-107.488
2.97518e+09,-107.377
2.97518e+09,-107.351
2.97518e+09,-107.292
2.97518e+09,-106.96
2.97519e+09,-106.906
2.97519e+09,-106.85
2.97519e+09,-106.731
2.97519e+09,-106.664
2.97519e+09,-106.862
2.97519e+09,-106.898
2.9752e+09,-106.57
2.9752e+09,-106.463
2.9752e+09,-106.709
2.9752e+09,-107.326
2.9752e+09,-107.884
2.9752e+09,-107.774
2.9752e+09,-107.689
2.97521e+09,-107.626
2.97521e+09,-107.189
2.97521e+09,-106.993
2.97521e+09,-106.855
2.97521e+09,-107.061
2.97521e+09,-107.55
2.97522e+09,-107.434
2.97522e+09,-106.512
2.97522e+09,-105.862
2.97522e+09,-105.908
2.97522e+09,-106.457
2.97522e+09,-107.228
2.97522e+09,-107.856
2.97523e+09,-108.277
2.97523e+09,-108.256
2.97523e+09,-107.973
2.97523e+09,-107.529
2.97523e+09,-107.44
2.97523e+09,-107.554
2.97524e+09,-107.345
2.97524e+09,-106.821
2.97524e+09,-106.425
2.97524e+09,-106.282
2.97524e+09,-106.645
2.97524e+09,-107.045
2.97524e+09,-107.123
2.97525e+09,-107.145
2.97525e+09,-107.108
2.97525e+09,-106.993
2.97525e+09,-106.655
2.97525e+09,-106.422
2.97525e+09,-106.5
2.97526e+09,-106.819
2.97526e+09,-106.911
2.97526e+09,-106.729
2.97526e+09,-106.573
2.97526e+09,-106.593
2.97526e+09,-106.454
2.97526e+09,-106.501
2.97527e+09,-107.069
2.97527e+09,-107.272
2.97527e+09,-107.125
2.97527e+09,-107.08
2.97527e+09,-107.051
2.97527e+09,-107.229
2.97528e+09,-107.222
2.97528e+09,-106.981
2.97528e+09,-106.917
2.97528e+09,-107.033
2.97528e+09,-107.208
2.97528e+09,-107.263
2.97528e+09,-107.469
2.97529e+09,-107.691
2.97529e+09,-107.405
2.97529e+09,-107.192
2.97529e+09,-107.084
2.97529e+09,-106.804
2.97529e+09,-106.785
2.97529e+09,-106.712
2.9753e+09,-106.746
2.9753e+09,-106.768
2.9753e+09,-106.801
2.9753e+09,-106.676
2.9753e+09,-106.624
2.9753e+09,-106.597
2.97531e+09,-106.546
2.97531e+09,-106.88
2.97531e+09,-107.177
2.97531e+09,-107.303
2.97531e+09,-107.123
2.97531e+09,-107.002
2.97531e+09,-106.949
2.97532e+09,-106.758
2.97532e+09,-106.813
2.97532e+09,-106.832
2.97532e+09,-106.935
2.97532e+09,-107.318
2.97532e+09,-107.572
2.97533e+09,-107.465
2.97533e+09,-107.356
2.97533e+09,-107.433
2.97533e+09,-107.217
2.97533e+09,-107.108
2.97533e+09,-107.193
2.97533e+09,-107.044
2.97534e+09,-107.03
2.97534e+09,-107.054
2.97534e+09,-107.233
2.97534e+09,-107.741
2.97534e+09,-108.033
2.97534e+09,-107.64
2.97535e+09,-107.175
2.97535e+09,-107.17
2.97535e+09,-107.27
2.97535e+09,-107.285
2.97535e+09,-107
2.97535e+09,-106.766
2.97535e+09,-106.858
2.97536e+09,-106.97
2.97536e+09,-107.078
2.97536e+09,-107.239
2.97536e+09,-107.431
2.97536e+09,-107.565
2.97536e+09,-107.5
2.97537e+09,-107.157
2.97537e+09,-106.768
2.97537e+09,-106.924
2.97537e+09,-107.063
2.97537e+09,-106.975
2.97537e+09,-107.006
2.97537e+09,-107.026
2.97538e+09,-106.97
2.97538e+09,-106.908
2.97538e+09,-106.785
2.97538e+09,-106.55
2.97538e+09,-106.429
2.97538e+09,-106.312
2.97539e+09,-106.636
2.97539e+09,-107.212
2.97539e+09,-107.292
2.97539e+09,-107.082
2.97539e+09,-107.066
2.97539e+09,-107.052
2.97539e+09,-106.977
2.9754e+09,-107.138
2.9754e+09,-107.415
2.9754e+09,-107.555
2.9754e+09,-107.431
2.9754e+09,-107.189
2.9754e+09,-106.969
2.97541e+09,-106.819
2.97541e+09,-106.89
2.97541e+09,-107.263
2.97541e+09,-107.573
2.97541e+09,-107.35
2.97541e+09,-107.165
2.97541e+09,-107.13
2.97542e+09,-107.114
2.97542e+09,-106.911
2.97542e+09,-106.496
2.97542e+09,-106.164
2.97542e+09,-106.198
2.97542e+09,-106.293
2.97543e+09,-106.467
2.97543e+09,-106.787
2.97543e+09,-106.703
2.97543e+09,-106.7
2.97543e+09,-106.732
2.97543e+09,-106.72
2.97543e+09,-107.069
2.97544e+09,-107.507
2.97544e+09,-107.571
2.97544e+09,-107.386
2.97544e+09,-107.399
2.97544e+09,-107.347
2.97544e+09,-107.105
2.97545e+09,-106.873
2.97545e+09,-106.792
2.97545e+09,-106.977
2.97545e+09,-107.169
2.97545e+09,-107.29
2.97545e+09,-107.517
2.97545e+09,-107.453
2.97546e+09,-107.33
2.97546e+09,-107.449
2.97546e+09,-107.713
2.97546e+09,-107.857
2.97546e+09,-107.492
2.97546e+09,-107.28
2.97547e+09,-107.113
2.97547e+09,-107.058
2.97547e+09,-106.879
2.97547e+09,-106.43
2.97547e+09,-106.252
2.97547e+09,-106.497
2.97547e+09,-107.011
2.97548e+09,-107.575
2.97548e+09,-107.803
2.97548e+09,-107.564
2.97548e+09,-107.3
2.97548e+09,-107.302
2.97548e+09,-107.216
2.97549e+09,-107.321
2.97549e+09,-107.408
2.97549e+09,-107.638
2.97549e+09,-108.221
2.97549e+09,-108.49
2.97549e+09,-107.921
2.97549e+09,-107.201
2.9755e+09,-107.085
2.9755e+09,-107.158
2.9755e+09,-107.183
2.9755e+09,-107.041
2.9755e+09,-106.889
2.9755e+09,-107.097
2.97551e+09,-107.264
2.97551e+09,-107.213
2.97551e+09,-107.181
2.97551e+09,-107.241
2.97551e+09,-107.675
2.97551e+09,-107.835
2.97551e+09,-107.29
2.97552e+09,-106.778
2.97552e+09,-106.711
2.97552e+09,-106.949
2.97552e+09,-107.229
2.97552e+09,-107.431
2.97552e+09,-107.297
2.97553e+09,-107.195
2.97553e+09,-107.401
2.97553e+09,-107.716
2.97553e+09,-108.004
2.97553e+09,-107.663
2.97553e+09,-107.066
2.97553e+09,-106.909
2.97554e+09,-106.932
2.97554e+09,-107.217
2.97554e+09,-107.389
2.97554e+09,-107.555
2.97554e+09,-107.713
2.97554e+09,-107.71
2.97555e+09,-107.685
2.97555e+09,-107.981
2.97555e+09,-108.115
2.97555e+09,-107.811
2.97555e+09,-107.409
2.97555e+09,-106.917
2.97555e+09,-106.905
2.97556e+09,-107.321
2.97556e+09,-107.62
2.97556e+09,-107.797
2.97556e+09,-107.615
2.97556e+09,-107.414
2.97556e+09,-107.22
2.97557e+09,-106.792
2.97557e+09,-106.626
2.97557e+09,-106.813
2.97557e+09,-107.128
2.97557e+09,-107.23
2.97557e+09,-107.183
2.97557e+09,-106.881
2.97558e+09,-106.73
2.97558e+09,-106.93
2.97558e+09,-107.352
2.97558e+09,-107.85
2.97558e+09,-108.002
2.97558e+09,-107.726
2.97559e+09,-107.645
2.97559e+09,-107.342
2.97559e+09,-107.071
2.97559e+09,-107.125
2.97559e+09,-107.229
2.97559e+09,-107.046
2.97559e+09,-107.037
2.9756e+09,-107.283
2.9756e+09,-107.422
2.9756e+09,-107.748
2.9756e+09,-108.155
2.9756e+09,-107.929
2.9756e+09,-107.636
2.97561e+09,-107.343
2.97561e+09,-107.152
2.97561e+09,-106.939
2.97561e+09,-106.7
2.97561e+09,-106.857
2.97561e+09,-107.043
2.97561e+09,-107.136
2.97562e+09,-107.212
2.97562e+09,-107.197
2.97562e+09,-107.071
2.97562e+09,-107.325
2.97562e+09,-107.566
2.97562e+09,-107.485
2.97563e+09,-107.124
2.97563e+09,-106.628
2.97563e+09,-106.451
2.97563e+09,-106.589
2.97563e+09,-106.716
2.97563e+09,-106.762
2.97563e+09,-106.739
2.97564e+09,-106.575
2.97564e+09,-106.677
2.97564e+09,-106.797
2.97564e+09,-106.911
2.97564e+09,-106.605
2.97564e+09,-106.436
2.97565e+09,-106.5
2.97565e+09,-106.498
2.97565e+09,-106.987
2.97565e+09,-107.528
2.97565e+09,-107.606
2.97565e+09,-107.669
2.97565e+09,-108.056
2.97566e+09,-107.9
2.97566e+09,-107.289
2.97566e+09,-106.98
2.97566e+09,-106.889
2.97566e+09,-106.641
2.97566e+09,-106.49
2.97567e+09,-106.519
2.97567e+09,-106.672
2.97567e+09,-106.556
2.97567e+09,-106.331
2.97567e+09,-106.516
2.97567e+09,-106.851
2.97567e+09,-107.224
2.97568e+09,-107.192
2.97568e+09,-107.105
2.97568e+09,-106.851
2.97568e+09,-106.616
2.97568e+09,-106.723
2.97568e+09,-107.087
2.97569e+09,-107.143
2.97569e+09,-106.65
2.97569e+09,-106.325
2.97569e+09,-106.264
2.97569e+09,-106.377
2.97569e+09,-106.49
2.97569e+09,-106.58
2.9757e+09,-106.788
2.9757e+09,-106.893
2.9757e+09,-106.952
2.9757e+09,-107.308
2.9757e+09,-107.6
2.9757e+09,-107.584
2.97571e+09,-107.126
2.97571e+09,-106.606
2.97571e+09,-106.717
2.97571e+09,-107.099
2.97571e+09,-107.148
2.97571e+09,-106.976
2.97571e+09,-106.883
2.97572e+09,-106.955
2.97572e+09,-107.123
2.97572e+09,-107.628
2.97572e+09,-108.035
2.97572e+09,-108.011
2.97572e+09,-107.856
2.97573e+09,-107.551
