"Frequency","Power"
2.975e+09,-100.242
2.975e+09,-100.587
2.975e+09,-103.033
2.975e+09,-106.363
2.97501e+09,-106.71
2.97501e+09,-106.771
2.97501e+09,-106.865
2.97501e+09,-107.1
2.97501e+09,-107.177
2.97501e+09,-107.22
2.97502e+09,-107.236
2.97502e+09,-107.197
2.97502e+09,-106.922
2.97502e+09,-106.745
2.97502e+09,-106.798
2.97502e+09,-106.888
2.97502e+09,-107.16
2.97503e+09,-107.153
2.97503e+09,-107.062
2.97503e+09,-107.147
2.97503e+09,-106.835
2.97503e+09,-106.745
2.97503e+09,-107.091
2.97504e+09,-107.291
2.97504e+09,-107.121
2.97504e+09,-106.492
2.97504e+09,-105.962
2.97504e+09,-105.624
2.97504e+09,-105.627
2.97504e+09,-105.678
2.97505e+09,-105.668
2.97505e+09,-105.665
2.97505e+09,-105.879
2.97505e+09,-106.302
2.97505e+09,-106.753
2.97505e+09,-107.269
2.97506e+09,-107.528
2.97506e+09,-107.358
2.97506e+09,-107.298
2.97506e+09,-107.492
2.97506e+09,-107.634
2.97506e+09,-107.689
2.97506e+09,-107.263
2.97507e+09,-106.836
2.97507e+09,-106.604
2.97507e+09,-106.443
2.97507e+09,-106.505
2.97507e+09,-106.486
2.97507e+09,-106.197
2.97508e+09,-106.007
2.97508e+09,-105.777
2.97508e+09,-105.873
2.97508e+09,-106.127
2.97508e+09,-106.188
2.97508e+09,-106.032
2.97508e+09,-105.963
2.97509e+09,-106.448
2.97509e+09,-106.587
2.97509e+09,-106.304
2.97509e+09,-106.576
2.97509e+09,-107.109
2.97509e+09,-107.297
2.9751e+09,-107.103
2.9751e+09,-106.484
2.9751e+09,-105.927
2.9751e+09,-106.05
2.9751e+09,-106.607
2.9751e+09,-107.04
2.9751e+09,-107.172
2.97511e+09,-107.112
2.97511e+09,-106.799
2.97511e+09,-106.432
2.97511e+09,-106.315
2.97511e+09,-106.481
2.97511e+09,-106.893
2.97512e+09,-107.028
2.97512e+09,-106.888
2.97512e+09,-106.875
2.97512e+09,-106.699
2.97512e+09,-106.321
2.97512e+09,-106.04
2.97512e+09,-106.176
2.97513e+09,-106.666
2.97513e+09,-107.008
2.97513e+09,-106.958
2.97513e+09,-106.65
2.97513e+09,-106.435
2.97513e+09,-106.573
2.97514e+09,-106.773
2.97514e+09,-107.011
2.97514e+09,-107.139
2.97514e+09,-107.113
2.97514e+09,-106.794
2.97514e+09,-106.166
2.97514e+09,-105.98
2.97515e+09,-106.199
2.97515e+09,-106.388
2.97515e+09,-106.674
2.97515e+09,-106.873
2.97515e+09,-106.741
2.97515e+09,-106.525
2.97516e+09,-106.414
2.97516e+09,-106.682
2.97516e+09,-106.794
2.97516e+09,-106.555
2.97516e+09,-106.207
2.97516e+09,-105.991
2.97516e+09,-105.991
2.97517e+09,-105.925
2.97517e+09,-105.964
2.97517e+09,-106.322
2.97517e+09,-106.816
2.97517e+09,-107.175
2.97517e+09,-107.089
2.97518e+09,-106.792
2.97518e+09,-106.648
2.97518e+09,-106.588
2.97518e+09,-106.768
2.97518e+09,-106.759
2.97518e+09,-106.743
2.97518e+09,-107.057
2.97519e+09,-107.48
2.97519e+09,-107.346
2.97519e+09,-107.263
2.97519e+09,-107.13
2.97519e+09,-106.989
2.97519e+09,-107.235
2.9752e+09,-107.178
2.9752e+09,-106.843
2.9752e+09,-106.753
2.9752e+09,-106.904
2.9752e+09,-106.905
2.9752e+09,-106.742
2.9752e+09,-106.733
2.97521e+09,-106.945
2.97521e+09,-107.288
2.97521e+09,-107.211
2.97521e+09,-106.84
2.97521e+09,-106.561
2.97521e+09,-106.389
2.97522e+09,-106.261
2.97522e+09,-106.248
2.97522e+09,-106.383
2.97522e+09,-106.541
2.97522e+09,-106.465
2.97522e+09,-106.403
2.97522e+09,-106.454
2.97523e+09,-106.673
2.97523e+09,-107.076
2.97523e+09,-107.352
2.97523e+09,-107.244
2.97523e+09,-106.965
2.97523e+09,-106.911
2.97524e+09,-107.032
2.97524e+09,-106.977
2.97524e+09,-106.325
2.97524e+09,-105.769
2.97524e+09,-105.761
2.97524e+09,-106.166
2.97524e+09,-106.858
2.97525e+09,-107.308
2.97525e+09,-107.285
2.97525e+09,-107.231
2.97525e+09,-107.196
2.97525e+09,-107.099
2.97525e+09,-106.75
2.97526e+09,-106.597
2.97526e+09,-106.734
2.97526e+09,-107.282
2.97526e+09,-107.819
2.97526e+09,-108.033
2.97526e+09,-107.797
2.97526e+09,-107.101
2.97527e+09,-106.512
2.97527e+09,-106.296
2.97527e+09,-106.462
2.97527e+09,-106.774
2.97527e+09,-107.023
2.97527e+09,-107.006
2.97528e+09,-106.885
2.97528e+09,-106.799
2.97528e+09,-107.133
2.97528e+09,-107.417
2.97528e+09,-107.136
2.97528e+09,-106.901
2.97528e+09,-106.772
2.97529e+09,-106.651
2.97529e+09,-106.676
2.97529e+09,-106.769
2.97529e+09,-106.605
2.97529e+09,-106.434
2.97529e+09,-106.402
2.97529e+09,-106.021
2.9753e+09,-105.979
2.9753e+09,-106.525
2.9753e+09,-106.856
2.9753e+09,-106.747
2.9753e+09,-106.811
2.9753e+09,-107.149
2.97531e+09,-107.067
2.97531e+09,-106.941
2.97531e+09,-107.413
2.97531e+09,-107.678
2.97531e+09,-107.653
2.97531e+09,-107.271
2.97531e+09,-107.062
2.97532e+09,-107.118
2.97532e+09,-106.908
2.97532e+09,-106.631
2.97532e+09,-106.477
2.97532e+09,-106.798
2.97532e+09,-107.389
2.97533e+09,-107.567
2.97533e+09,-107.361
2.97533e+09,-106.978
2.97533e+09,-106.806
2.97533e+09,-107.204
2.97533e+09,-107.701
