"Frequency","Power"
2.975e+09,-102.465
2.975e+09,-102.734
2.975e+09,-104.77
2.975e+09,-106.848
2.97501e+09,-106.746
2.97501e+09,-106.676
2.97501e+09,-106.724
2.97501e+09,-106.619
2.97501e+09,-106.36
2.97501e+09,-106.229
2.97502e+09,-106.261
2.97502e+09,-106.379
2.97502e+09,-106.336
2.97502e+09,-106.279
2.97502e+09,-106.488
2.97502e+09,-106.848
2.97502e+09,-107.234
2.97503e+09,-107.193
2.97503e+09,-106.883
2.97503e+09,-106.679
2.97503e+09,-106.613
2.97503e+09,-106.692
2.97503e+09,-106.998
2.97504e+09,-107.079
2.97504e+09,-107.33
2.97504e+09,-107.772
2.97504e+09,-108.098
2.97504e+09,-107.988
2.97504e+09,-107.411
2.97504e+09,-106.855
2.97505e+09,-106.733
2.97505e+09,-106.745
2.97505e+09,-106.691
2.97505e+09,-106.518
2.97505e+09,-106.355
2.97505e+09,-106.315
2.97506e+09,-106.571
2.97506e+09,-106.689
2.97506e+09,-106.461
2.97506e+09,-106.351
2.97506e+09,-106.57
2.97506e+09,-106.831
2.97506e+09,-106.664
2.97507e+09,-106.455
2.97507e+09,-106.529
2.97507e+09,-106.624
2.97507e+09,-106.572
2.97507e+09,-106.593
2.97507e+09,-106.605
2.97508e+09,-106.713
2.97508e+09,-106.69
2.97508e+09,-106.522
2.97508e+09,-106.404
2.97508e+09,-106.42
2.97508e+09,-106.542
2.97508e+09,-106.436
2.97509e+09,-106.514
2.97509e+09,-106.848
2.97509e+09,-106.973
2.97509e+09,-106.882
2.97509e+09,-106.889
2.97509e+09,-107.08
2.9751e+09,-107.357
2.9751e+09,-107.218
2.9751e+09,-106.967
2.9751e+09,-107.096
2.9751e+09,-107.122
2.9751e+09,-107.074
2.9751e+09,-107.062
2.97511e+09,-107.205
2.97511e+09,-107.574
2.97511e+09,-107.517
2.97511e+09,-107.307
2.97511e+09,-107.164
2.97511e+09,-107.32
2.97512e+09,-107.653
2.97512e+09,-107.785
2.97512e+09,-107.239
2.97512e+09,-106.918
2.97512e+09,-106.857
2.97512e+09,-106.692
2.97512e+09,-106.622
2.97513e+09,-106.787
2.97513e+09,-107
2.97513e+09,-106.94
2.97513e+09,-107.093
2.97513e+09,-107.392
2.97513e+09,-107.668
2.97514e+09,-107.91
2.97514e+09,-107.678
2.97514e+09,-107.075
2.97514e+09,-106.379
2.97514e+09,-106.18
2.97514e+09,-106.581
2.97514e+09,-107.225
2.97515e+09,-107.68
2.97515e+09,-107.62
2.97515e+09,-107.335
2.97515e+09,-107.172
2.97515e+09,-107.089
2.97515e+09,-106.969
2.97516e+09,-106.597
2.97516e+09,-106.314
2.97516e+09,-106.511
2.97516e+09,-106.844
2.97516e+09,-107.124
2.97516e+09,-107.672
2.97516e+09,-107.598
2.97517e+09,-107.446
2.97517e+09,-107.412
2.97517e+09,-107.062
2.97517e+09,-106.764
2.97517e+09,-106.91
2.97517e+09,-106.761
2.97518e+09,-106.575
2.97518e+09,-106.77
2.97518e+09,-107.148
2.97518e+09,-107.022
2.97518e+09,-106.671
2.97518e+09,-106.451
2.97518e+09,-106.317
2.97519e+09,-106.283
2.97519e+09,-106.294
2.97519e+09,-106.208
2.97519e+09,-106.337
2.97519e+09,-106.583
2.97519e+09,-106.738
2.9752e+09,-106.608
2.9752e+09,-106.235
2.9752e+09,-105.909
2.9752e+09,-105.836
2.9752e+09,-105.977
2.9752e+09,-106.187
2.9752e+09,-106.278
2.97521e+09,-106.411
2.97521e+09,-106.741
2.97521e+09,-107.105
2.97521e+09,-107.638
2.97521e+09,-107.833
2.97521e+09,-107.479
2.97522e+09,-106.974
2.97522e+09,-106.721
2.97522e+09,-106.806
2.97522e+09,-106.946
2.97522e+09,-107.187
2.97522e+09,-107.053
2.97522e+09,-106.541
2.97523e+09,-106.161
2.97523e+09,-105.972
2.97523e+09,-106.038
2.97523e+09,-106.188
2.97523e+09,-106.307
2.97523e+09,-106.589
2.97524e+09,-106.866
2.97524e+09,-107.162
2.97524e+09,-107.166
2.97524e+09,-106.964
2.97524e+09,-106.748
2.97524e+09,-106.523
2.97524e+09,-106.534
2.97525e+09,-106.61
2.97525e+09,-106.862
2.97525e+09,-106.735
2.97525e+09,-106.449
2.97525e+09,-106.684
2.97525e+09,-106.959
2.97526e+09,-107.192
2.97526e+09,-107.459
2.97526e+09,-107.436
2.97526e+09,-107.231
2.97526e+09,-106.853
2.97526e+09,-106.763
2.97526e+09,-107.083
2.97527e+09,-107.334
2.97527e+09,-107.209
2.97527e+09,-106.808
2.97527e+09,-106.897
2.97527e+09,-107.226
2.97527e+09,-107.423
2.97528e+09,-107.297
2.97528e+09,-107.113
2.97528e+09,-107.349
2.97528e+09,-107.574
2.97528e+09,-107.467
2.97528e+09,-107.524
2.97528e+09,-107.627
2.97529e+09,-107.361
2.97529e+09,-106.9
2.97529e+09,-106.953
2.97529e+09,-107.265
2.97529e+09,-107.358
