"Frequency","Power"
2.975e+09,-101.55
2.975e+09,-101.828
2.975e+09,-104.033
2.975e+09,-106.784
2.97501e+09,-107.055
2.97501e+09,-107.202
2.97501e+09,-107.18
2.97501e+09,-107.192
2.97501e+09,-107.44
2.97501e+09,-107.569
2.97502e+09,-107.263
2.97502e+09,-107.002
2.97502e+09,-107.248
2.97502e+09,-107.803
2.97502e+09,-108.28
2.97502e+09,-108.149
2.97502e+09,-107.926
2.97503e+09,-107.661
2.97503e+09,-107.217
2.97503e+09,-106.837
2.97503e+09,-107.055
2.97503e+09,-107.784
2.97503e+09,-108.229
2.97504e+09,-107.777
2.97504e+09,-106.976
2.97504e+09,-106.544
2.97504e+09,-106.645
2.97504e+09,-106.843
2.97504e+09,-106.81
2.97504e+09,-107.002
2.97505e+09,-107.422
2.97505e+09,-108
2.97505e+09,-107.8
2.97505e+09,-107.677
2.97505e+09,-107.682
2.97505e+09,-107.558
2.97506e+09,-107.498
2.97506e+09,-107.356
2.97506e+09,-107.083
2.97506e+09,-107.014
2.97506e+09,-107.017
2.97506e+09,-106.955
2.97506e+09,-106.686
2.97507e+09,-106.464
2.97507e+09,-106.482
2.97507e+09,-106.715
2.97507e+09,-106.985
2.97507e+09,-107.151
2.97507e+09,-107.386
2.97508e+09,-107.487
2.97508e+09,-107.561
2.97508e+09,-107.56
2.97508e+09,-107.438
2.97508e+09,-107.392
2.97508e+09,-107.233
2.97508e+09,-107.002
2.97509e+09,-106.958
2.97509e+09,-107.13
2.97509e+09,-107.117
2.97509e+09,-106.885
2.97509e+09,-106.968
2.97509e+09,-107.218
2.9751e+09,-106.97
2.9751e+09,-106.703
2.9751e+09,-106.806
2.9751e+09,-107.139
2.9751e+09,-107.474
2.9751e+09,-107.449
2.9751e+09,-107.148
2.97511e+09,-107.118
2.97511e+09,-107.256
2.97511e+09,-107.344
2.97511e+09,-107.23
2.97511e+09,-107.391
2.97511e+09,-107.689
2.97512e+09,-107.699
2.97512e+09,-107.44
2.97512e+09,-107.154
2.97512e+09,-107.392
2.97512e+09,-107.721
2.97512e+09,-107.966
2.97512e+09,-107.784
2.97513e+09,-107.578
2.97513e+09,-107.437
2.97513e+09,-107.606
2.97513e+09,-108.002
2.97513e+09,-108.014
2.97513e+09,-107.871
2.97514e+09,-107.758
2.97514e+09,-107.124
2.97514e+09,-106.481
2.97514e+09,-106.366
2.97514e+09,-106.778
2.97514e+09,-107.08
2.97514e+09,-106.927
2.97515e+09,-106.751
2.97515e+09,-106.691
2.97515e+09,-106.918
2.97515e+09,-107.357
2.97515e+09,-107.364
2.97515e+09,-107.112
2.97516e+09,-106.928
2.97516e+09,-106.99
2.97516e+09,-107.098
2.97516e+09,-107.214
2.97516e+09,-107.371
2.97516e+09,-107.306
2.97516e+09,-107.299
2.97517e+09,-107.089
2.97517e+09,-107.059
2.97517e+09,-106.983
2.97517e+09,-106.84
2.97517e+09,-107.061
2.97517e+09,-106.998
2.97518e+09,-107.232
2.97518e+09,-107.69
2.97518e+09,-107.993
2.97518e+09,-108.306
2.97518e+09,-108.264
2.97518e+09,-108.02
2.97518e+09,-107.637
2.97519e+09,-107.124
2.97519e+09,-106.655
2.97519e+09,-106.319
2.97519e+09,-106.278
2.97519e+09,-106.711
2.97519e+09,-107.486
2.9752e+09,-107.787
2.9752e+09,-107.639
2.9752e+09,-107.36
2.9752e+09,-107.16
2.9752e+09,-107.089
2.9752e+09,-107.214
2.9752e+09,-107.348
2.97521e+09,-107.375
2.97521e+09,-107.148
2.97521e+09,-106.977
2.97521e+09,-106.828
2.97521e+09,-106.585
2.97521e+09,-106.427
2.97522e+09,-106.627
2.97522e+09,-106.943
2.97522e+09,-106.947
2.97522e+09,-106.898
2.97522e+09,-106.922
2.97522e+09,-107.375
2.97522e+09,-108.007
2.97523e+09,-107.932
2.97523e+09,-107.681
2.97523e+09,-107.199
2.97523e+09,-106.874
2.97523e+09,-106.7
2.97523e+09,-106.944
2.97524e+09,-107.289
2.97524e+09,-107.096
2.97524e+09,-106.761
2.97524e+09,-106.701
2.97524e+09,-106.722
2.97524e+09,-106.797
2.97524e+09,-106.946
2.97525e+09,-107.053
2.97525e+09,-107.25
2.97525e+09,-107.534
2.97525e+09,-107.62
2.97525e+09,-107.273
2.97525e+09,-106.846
2.97526e+09,-106.623
2.97526e+09,-106.628
2.97526e+09,-106.976
2.97526e+09,-106.994
2.97526e+09,-106.893
2.97526e+09,-106.83
