"Frequency","Power"
2.975e+09,-111.312
2.975e+09,-111.481
2.975e+09,-111.505
2.975e+09,-111.536
2.97501e+09,-111.239
2.97501e+09,-111.372
2.97501e+09,-111.632
2.97501e+09,-111.753
2.97501e+09,-111.353
2.97501e+09,-110.933
2.97502e+09,-111.048
2.97502e+09,-111.127
2.97502e+09,-111.462
2.97502e+09,-111.561
2.97502e+09,-111.384
2.97502e+09,-111.675
2.97502e+09,-111.193
2.97503e+09,-111.519
2.97503e+09,-111.6
2.97503e+09,-111.694
2.97503e+09,-111.603
2.97503e+09,-111.43
2.97503e+09,-111.548
2.97504e+09,-111.57
2.97504e+09,-111.729
2.97504e+09,-111.663
2.97504e+09,-111.334
2.97504e+09,-111.647
2.97504e+09,-111.624
2.97504e+09,-111.254
2.97505e+09,-111.404
2.97505e+09,-111.382
2.97505e+09,-110.88
2.97505e+09,-111.319
2.97505e+09,-111.725
2.97505e+09,-111.59
2.97506e+09,-111.505
2.97506e+09,-111.834
2.97506e+09,-111.787
2.97506e+09,-111.565
2.97506e+09,-111.544
2.97506e+09,-111.217
2.97506e+09,-111.077
2.97507e+09,-111.629
2.97507e+09,-111.353
2.97507e+09,-111.64
2.97507e+09,-111.655
2.97507e+09,-111.312
2.97507e+09,-111.792
2.97508e+09,-111.86
2.97508e+09,-111.927
2.97508e+09,-111.73
2.97508e+09,-111.63
2.97508e+09,-111.643
2.97508e+09,-111.771
2.97508e+09,-111.537
2.97509e+09,-111.756
2.97509e+09,-111.697
2.97509e+09,-111.544
2.97509e+09,-111.404
2.97509e+09,-111.439
2.97509e+09,-111.575
2.9751e+09,-111.689
2.9751e+09,-111.303
2.9751e+09,-111.142
2.9751e+09,-111.303
2.9751e+09,-111.48
2.9751e+09,-111.698
2.9751e+09,-111.6
2.97511e+09,-111.236
2.97511e+09,-111.202
2.97511e+09,-111.307
2.97511e+09,-111.626
2.97511e+09,-111.504
2.97511e+09,-111.473
2.97512e+09,-111.425
2.97512e+09,-111.634
2.97512e+09,-111.67
2.97512e+09,-111.581
2.97512e+09,-111.645
2.97512e+09,-111.657
2.97512e+09,-111.542
2.97513e+09,-111.664
2.97513e+09,-111.624
2.97513e+09,-111.345
2.97513e+09,-111.488
2.97513e+09,-111.164
2.97513e+09,-111.404
2.97514e+09,-111.364
2.97514e+09,-111.376
2.97514e+09,-111.674
2.97514e+09,-111.479
2.97514e+09,-111.173
2.97514e+09,-111.563
2.97514e+09,-111.401
2.97515e+09,-111.185
2.97515e+09,-111.399
2.97515e+09,-111.417
2.97515e+09,-111.342
2.97515e+09,-111.332
2.97515e+09,-111.442
2.97516e+09,-111.66
2.97516e+09,-111.63
2.97516e+09,-111.494
2.97516e+09,-111.594
2.97516e+09,-111.786
2.97516e+09,-112.072
2.97516e+09,-111.837
2.97517e+09,-111.595
2.97517e+09,-111.763
2.97517e+09,-111.674
2.97517e+09,-111.515
2.97517e+09,-111.587
2.97517e+09,-111.772
2.97518e+09,-111.699
2.97518e+09,-111.83
2.97518e+09,-111.885
2.97518e+09,-111.805
2.97518e+09,-111.887
2.97518e+09,-111.818
2.97518e+09,-111.473
2.97519e+09,-111.323
2.97519e+09,-111.702
2.97519e+09,-111.848
2.97519e+09,-111.778
2.97519e+09,-111.868
2.97519e+09,-111.626
2.9752e+09,-111.399
2.9752e+09,-111.616
2.9752e+09,-111.443
2.9752e+09,-111.68
2.9752e+09,-111.449
2.9752e+09,-111.376
2.9752e+09,-111.607
2.97521e+09,-111.478
2.97521e+09,-111.267
2.97521e+09,-111.353
2.97521e+09,-111.432
2.97521e+09,-111.546
2.97521e+09,-111.591
2.97522e+09,-111.596
2.97522e+09,-111.396
2.97522e+09,-111.364
2.97522e+09,-111.584
2.97522e+09,-111.484
2.97522e+09,-111.641
2.97522e+09,-111.666
2.97523e+09,-111.911
